"id";"nome";"grupo";"subgrupo";"equipamento_descricao";"equipamento_categorias";"origem";"imagem_estado";"imagem_url";"imagem_alternativa";"video_estado";"video_url"
"barbell_bench_press";"Supino Reto com Barra";"Peito";"";"barra e banco reto";"barra_anilhas + banco";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/barbell_bench_press/thumb.webp";"";"waiting_for_demo";""
"dumbbell_bench_press";"Supino Reto com Halteres";"Peito";"";"halteres e banco reto";"halteres + banco";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/dumbbell_bench_press/thumb.webp";"/assets/exercise-library/v1/dumbbell_bench_press/thumb.png";"waiting_for_demo";""
"incline_dumbbell_press";"Supino Inclinado com Halteres";"Peito";"";"halteres e banco inclinado";"halteres + banco";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/incline_dumbbell_press/thumb.webp";"/assets/exercise-library/v1/incline_dumbbell_press/thumb.png";"waiting_for_demo";""
"standing_cable_fly";"Crucifixo Reto no Cabo";"Peito";"";"cross-over";"crossover";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/standing_cable_fly/thumb.webp";"";"waiting_for_demo";""
"pec_deck_fly";"Voador / Peck Deck";"Peito";"";"máquina peck deck";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/pec_deck_fly/thumb.webp";"/assets/exercise-library/v1/pec_deck_fly/thumb.png";"waiting_for_demo";""
"classic_push_up";"Flexão de Braços Clássica";"Peito";"";"peso corporal";"";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/classic_push_up/thumb.webp";"/assets/exercise-library/v1/classic_push_up/thumb.png";"waiting_for_demo";""
"decline_push_up";"Flexão de Braços Declinada";"Peito";"";"banco e peso corporal";"banco";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/decline_push_up/thumb.webp";"/assets/exercise-library/v1/decline_push_up/thumb.png";"waiting_for_demo";""
"incline_push_up";"Flexões com Mãos no Banco";"Peito";"";"banco e peso corporal";"banco";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/incline_push_up/thumb.webp";"/assets/exercise-library/v1/incline_push_up/thumb.png";"waiting_for_demo";""
"barbell_bent_over_row";"Remada Curvada com Barra";"Costas";"";"barra";"barra_anilhas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/barbell_bent_over_row/thumb.webp";"/assets/exercise-library/v1/barbell_bent_over_row/thumb.png";"waiting_for_demo";""
"t_bar_row";"Remada Cavalinho Neutra";"Costas";"";"barra T";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/t_bar_row/thumb.webp";"/assets/exercise-library/v1/t_bar_row/thumb.png";"waiting_for_demo";""
"barbell_back_squat";"Agachamento Livre";"Pernas";"";"barra e rack";"barra_anilhas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/barbell_back_squat/thumb.webp";"";"waiting_for_demo";""
"smith_machine_squat";"Agachamento no Smith";"Pernas";"";"máquina smith";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/smith_machine_squat/thumb.webp";"";"waiting_for_demo";""
"leg_press_45";"Leg Press 45°";"Pernas";"";"máquina leg press";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/leg_press_45/thumb.webp";"";"waiting_for_demo";""
"hack_squat";"Hack Squat";"Pernas";"";"máquina hack squat";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/hack_squat/thumb.webp";"";"waiting_for_demo";""
"leg_extension";"Cadeira Extensora";"Pernas";"";"máquina extensora";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/leg_extension/thumb.webp";"";"waiting_for_demo";""
"leg_curl";"Mesa Flexora";"Pernas";"";"máquina flexora";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/leg_curl/thumb.webp";"/assets/exercise-library/v1/leg_curl/thumb.png";"waiting_for_demo";""
"seated_leg_curl";"Cadeira Flexora";"Pernas";"";"máquina flexora sentado";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/seated_leg_curl/thumb.webp";"/assets/exercise-library/v1/seated_leg_curl/thumb.png";"waiting_for_demo";""
"barbell_stiff_deadlift";"Stiff / Romanian Deadlift";"Pernas";"";"halteres";"halteres";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/barbell_stiff_deadlift/thumb.webp";"/assets/exercise-library/v1/barbell_stiff_deadlift/thumb.png";"waiting_for_demo";""
"dumbbell_lunge";"Afundo com Halteres";"Pernas";"";"halteres";"halteres";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/dumbbell_lunge/thumb.webp";"/assets/exercise-library/v1/dumbbell_lunge/thumb.png";"waiting_for_demo";""
"bulgarian_split_squat";"Agachamento Búlgaro";"Pernas";"";"halteres e banco";"halteres + banco";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/bulgarian_split_squat/thumb.webp";"";"waiting_for_demo";""
"dumbbell_walking_lunge";"Passada com Halteres";"Pernas";"";"halteres";"halteres";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/dumbbell_walking_lunge/thumb.webp";"/assets/exercise-library/v1/dumbbell_walking_lunge/thumb.png";"waiting_for_demo";""
"hip_adductor_machine";"Cadeira Adutora";"Pernas";"";"máquina adutora";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/hip_adductor_machine/thumb.webp";"";"waiting_for_demo";""
"hip_abductor_machine";"Cadeira Abdutora";"Pernas";"";"máquina abdutora";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/hip_abductor_machine/thumb.webp";"";"waiting_for_demo";""
"barbell_hip_thrust";"Elevação Pélvica / Hip Thrust";"Pernas";"";"barra e banco";"barra_anilhas + banco";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/barbell_hip_thrust/thumb.webp";"";"waiting_for_demo";""
"standing_calf_raise_machine";"Panturrilha em Pé";"Pernas";"";"máquina de panturrilha";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/standing_calf_raise_machine/thumb.webp";"";"waiting_for_demo";""
"seated_calf_raise";"Panturrilha Sentado";"Pernas";"";"máquina de panturrilha sentado";"maquinas";"legacy_preserved";"ready";"/assets/exercise-library/rebuild-2026-09-05/seated_calf_raise/thumb.webp";"";"waiting_for_demo";""
